"","Site","year","crop","grass","shrub","aquatic","high"
"102","both_62",2,-0.345169584239446,0.582350232300126,2.99020335462423,-1.18176780824774,0.17616604167878
"103","both_63",2,-0.359580282963722,-0.559294927886484,0.964197296207113,-1.00376052385543,-0.259222378664969
"104","both_64",2,-0.364384174969743,-0.392609974047743,-0.186972522210866,-0.927063685869896,0.229333537530506
"105","both_66",2,-0.364384174969743,-0.50772937907254,1.01021930294947,-0.0567795754688833,-0.625353571885064
"106","both_67",2,-0.364326645501154,0.0778602837582294,0.110510775224888,0.473152904411065,0.589822738885051
"107","both_68",2,-0.361285125856971,-0.767152776461821,-0.70812793880938,-0.879838913051707,0.988865370550368
"108","both_69",2,-0.364384174969743,0.461044383719122,-0.283185700579854,0.526915164029186,-0.961370858582033
"109","both_7",2,-0.363722686600595,-0.197142223568047,-0.902292420406294,1.98640670902929,-1.18275263326249
"110","both_75",2,-0.364384174969743,-0.530073422692093,1.08422650911306,0.469357205493647,-0.57798468745854
"111","both_77",2,-0.364384174969743,-0.736031190550028,-0.133557583668765,-1.15524942962874,0.0827899808346603
"112","both_78",2,-0.364384174969743,-0.512323516875003,2.23682642523887,0.115175718496655,-0.666244364737711
"113","both_79",2,-0.364384174969743,0.187970642082258,-0.346355524890792,-0.0119784976970091,-0.509113875351849
"114","both_8",2,-0.364384174969743,0.422213566674897,-0.559239152434695,0.525329792467457,3.65663227514178
"115","both_80",2,-0.364384174969743,-0.796755726725307,-0.20319838297335,-0.278118521095377,-0.385924348552627
"116","both_82",2,-0.364384174969743,0.314418541003352,-0.182223492070404,0.489618517824113,-0.383673683541705
"117","both_84",2,-0.364384174969743,-0.521390996218399,-0.111890758205819,-0.52704888634314,0.294177650635457
"118","both_85",2,-0.362110771512717,-0.873894714709216,-0.669880273064099,-0.618182157466092,-0.866655396808464
"119","both_88",2,-0.364345555239466,-0.647142270243867,-0.681521845562743,-0.334255769426512,-0.574369205186127
"120","both_90",2,-0.363303914153639,-0.76390965944026,-0.627210119112367,-0.575600678228623,-0.106589531582794
"121","both_91",2,-0.355588904777215,-0.632163723075598,-0.22740806093997,0.0315423739311257,0.33231863497752
"122","both_92",2,-0.362121652416248,0.121351385558938,-0.134476832133348,-0.302660375816506,-0.29182867650922
"123","both_94",2,-0.364384174969743,-0.70697874334328,-1.2372383147663,-1.4184061003391,-1.32677593286491
"124","both_95",2,-0.364384174969743,0.464607234676168,-1.23721666091654,-1.24972342636674,-1.32677593286491
